Posición	Nombre del Campo	Tipo de Campo	Dimensión del Campo	Otra Información
1	ID	int	11	NO PRI  auto_increment
2	UsuarioId	int	11	YES MUL  
3	MunicipioNum	varchar	5	YES   
4	MunicipioNom	varchar	60	YES   
5	LocalidadNum	varchar	5	YES   
6	LocalidadNom	varchar	100	YES   
7	Unidad	varchar	50	YES   
8	AsistSoc	varchar	50	YES   
9	TipoLoc	varchar	3	YES   
10	SedeVm	int	11	YES   
11	SedeVk	int	11	YES   
12	SedePm	int	11	YES   
13	SedePk	int	11	YES   
14	SubsVm	int	11	YES   
15	SubsVk	int	11	YES   
16	SubsPm	int	11	YES   
17	SubsPk	int	11	YES   
18	FecRegCed	datetime		YES   
19	TechoConc	tinyint	1	YES   
20	TechoGalv	tinyint	1	YES   
21	TechoMade	tinyint	1	YES   
22	TechoCart	tinyint	1	YES   
23	TechoOtro	tinyint	1	YES   
24	PareTabiq	tinyint	1	YES   
25	PareAdobe	tinyint	1	YES   
26	PareBlock	tinyint	1	YES   
27	PareMader	tinyint	1	YES   
28	ParePiedr	tinyint	1	YES   
29	PareCarto	tinyint	1	YES   
30	PisoCemen	tinyint	1	YES   
31	PisoMader	tinyint	1	YES   
32	PisoTierr	tinyint	1	YES   
33	PisoPiedr	tinyint	1	YES   
34	AgUsoPota	tinyint	1	YES   
35	AgUsoNori	tinyint	1	YES   
36	AgUsoRio	tinyint	1	YES   
37	AgUsoLluv	tinyint	1	YES   
38	AgConPota	tinyint	1	YES   
39	AgConPuri	tinyint	1	YES   
40	AgConHerv	tinyint	1	YES   
41	AgConClor	tinyint	1	YES   
42	AgConFilt	tinyint	1	YES   
43	ExcFoSep	tinyint	1	YES   
44	ExcLetri	tinyint	1	YES   
45	ExcRasSu	tinyint	1	YES   
46	CombGas	tinyint	1	YES   
47	CombCar	tinyint	1	YES   
48	CombLen	tinyint	1	YES   
49	CombOtr	tinyint	1	YES   
50	BasRedM	tinyint	1	YES   
51	BasEnte	tinyint	1	YES   
52	BasCieAb	tinyint	1	YES   
53	BasInci	tinyint	1	YES   
54	AlumRedE	tinyint	1	YES   
55	AlumVela	tinyint	1	YES   
56	AlumQuin	tinyint	1	YES   
57	AlumPlaS	tinyint	1	YES   
58	NumHab	tinyint	4	YES   
59	Recam	tinyint	1	YES   
60	Estan	tinyint	1	YES   
61	Comed	tinyint	1	YES   
62	Multi	tinyint	1	YES   
63	Cocin	tinyint	1	YES   
64	FecRegViv	datetime		YES   
65	PueIndTara	tinyint	1	YES   
66	PueIndTepe	tinyint	1	YES   
67	PueIndWuar	tinyint	1	YES   
68	PueIndPima	tinyint	1	YES   
69	PueIndMeno	tinyint	1	YES   
70	PueIndOtro	tinyint	1	YES   
71	DerechINSABI	tinyint	1	YES   
72	DerechIMSS	tinyint	1	YES   
73	DerechISSSTE	tinyint	1	YES   
74	DerechPEMEX	tinyint	1	YES   
75	DerechSEDENA	tinyint	1	YES   
76	DerechOtro	tinyint	1	YES   
77	NumPerros	int	11	YES   
78	NumGatos	int	11	YES   
79	NumOtros	int	11	YES   
80	SisSalINSABI	tinyint	1	YES   
81	SisSalIMSS	tinyint	1	YES   
82	SisSalISSSTE	tinyint	1	YES   
83	SisSalPEMEX	tinyint	1	YES   
84	SisSalSEDENA	tinyint	1	YES   
85	SisSalOtro	tinyint	1	YES   
86	SisSalMedPar	tinyint	1	YES   
87	SisSalCliPar	tinyint	1	YES   
88	SisSalParter	tinyint	1	YES   
89	SisSalCurand	tinyint	1	YES   
90	SisSalYerber	tinyint	1	YES   
91	SisSalHueser	tinyint	1	YES   
92	SisSalBotica	tinyint	1	YES   
93	Comentario	varchar	150	YES   
94	FecRegGen	datetime		YES   
95	NumInteg	tinyint	3	NO   
96	OrigCapt	varchar	4	YES   
